구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,강원도,강릉,옥천동,0.0029,0.0022,0.0023,0.0016,0.0022,0.0024
도시대기,강원도,원주,중앙동,0.0037,0.0031,0.002,0.0015,0.001,0.0011
도시대기,강원도,원주,문막읍,0.0034,0.0025,0.0022,0.0021,0.0019,0.0019
도시대기,강원도,원주,지정면,0.0024,0.0016,0.0016,0.0016,0.0014,0.0014
도시대기,강원도,원주,반곡동,0.0037,0.0026,0.0022,0.0021,0.002,0.002
도시대기,강원도,동해,천곡동,0.0018,0.0012,0.0013,0.0014,0.0018,0.001
도시대기,강원도,삼척,남양동,0.0018,0.0016,0.0014,0.0013,0.0011,0.001
도시대기,강원도,평창,평창읍,0.0017,0.0017,0.0019,0.002,0.002,0.0017
도시대기,강원도,양양,양양읍,0.0018,0.0013,0.0014,0.0012,0.0014,0.0016
도시대기,강원도,속초,금호동,0.0033,0.0023,0.0022,0.0026,0.0021,0.0019
도시대기,강원도,영월,영월읍,0.0024,0.0019,0.0021,0.0019,0.0011,0.002
도시대기,강원도,철원,갈말읍,0.0022,0.0016,0.0017,0.0012,0.0015,0.0022
도시대기,강원도,홍천,홍천읍,0.0019,0.002,0.0022,0.0022,0.002,0.003
도시대기,강원도,화천,화천군,0.0021,0.0015,0.0012,0.0011,0.0017,0.002
도시대기,강원도,태백,황지동,0.0031,0.0026,0.0021,0.0021,0.002,0.0021
도시대기,강원도,인제,인제읍,0.0016,0.0011,0.0016,0.0015,0.0011,0.0017
도시대기,충청북도,괴산,괴산읍,0.0031,0.0026,0.0024,0.0022,0.0026,0.0028
도시대기,충청북도,괴산,감물면,0.0024,0.0027,0.0026,0.0024,0.0026,0.0028
도시대기,충청북도,음성,음성읍,0.0022,0.002,0.0019,0.0019,0.0014,0.0015
도시대기,충청북도,음성,소이면,0.0017,0.0015,0.0016,0.0016,0.0017,0.0016
도시대기,충청북도,청주,송정동,0.0024,0.0017*,0.0013**,0.0017,0.0014,0.0018*
도시대기,충청북도,청주,사천동,0.0023,0.0018,0.002,0.0022*,0.0015,0.0015
도시대기,충청북도,청주,용담동,0.0027,0.0030**,-,-,-,0.0011**
도시대기,충청북도,청주,용암동,0.0025,0.0018,0.0017,0.002,0.0015,0.0015
도시대기,충청북도,청주,오창읍,0.0021,0.0013,0.0015,0.0016,0.0014,0.0014
도시대기,충청북도,청주,산남동,0.002,0.0013,0.0017,0.0018,0.0014,0.0014
도시대기,충청북도,청주,가덕면,0.0018,0.0016,0.0016,0.0016,0.0012,0.0012
도시대기,충청북도,청주,오송읍,0.0021,0.0015,0.0017,0.002,0.0016,0.0018
도시대기,충청북도,충주,호암동,0.002,0.0016,0.0017,0.0015,0.0012,0.0014
도시대기,충청북도,충주,칠금동,0.002,0.0022,0.0019,0.0017,0.0014,0.0016
도시대기,충청북도,충주,중앙탑면,0.0024,0.0021,0.0021,0.0021,0.0022,0.0023
